commodity_desc,year,Value,unit_desc,state_alpha
CORN,2022,95.9,BU / ACRE,TX
SOYBEANS,2021,74.4,BU / ACRE,ND
OATS,2021,99.5,BU / ACRE,ND
COTTON,2022,135.4,BU / ACRE,TX
COTTON,2020,94.8,BU / ACRE,IA
SOYBEANS,2022,141.9,BU / ACRE,NE
SOYBEANS,2022,115.6,BU / ACRE,MN
SOYBEANS,2023,81.0,BU / ACRE,KS
COTTON,2021,66.0,BU / ACRE,IA
WHEAT,2020,167.7,BU / ACRE,ND
COTTON,2020,146.0,BU / ACRE,MN
COTTON,2022,107.0,BU / ACRE,TX
SOYBEANS,2023,109.1,BU / ACRE,MN
CORN,2020,37.8,BU / ACRE,NE
OATS,2022,40.0,BU / ACRE,ND
SOYBEANS,2021,30.9,BU / ACRE,IA
WHEAT,2020,72.1,BU / ACRE,MN
SOYBEANS,2021,163.3,BU / ACRE,IL
SOYBEANS,2022,53.0,BU / ACRE,SD
SOYBEANS,2023,141.5,BU / ACRE,KS
SOYBEANS,2021,153.1,BU / ACRE,TX
COTTON,2021,54.6,BU / ACRE,MN
WHEAT,2020,102.0,BU / ACRE,MN
WHEAT,2021,150.8,BU / ACRE,IA
OATS,2023,31.2,BU / ACRE,NE
CORN,2020,158.2,BU / ACRE,ND
SOYBEANS,2023,53.9,BU / ACRE,IL
SOYBEANS,2022,183.3,BU / ACRE,TX
CORN,2022,54.0,BU / ACRE,ND
COTTON,2022,90.2,BU / ACRE,KS
OATS,2022,31.5,BU / ACRE,IL
CORN,2023,100.3,BU / ACRE,IL
SOYBEANS,2020,30.9,BU / ACRE,NE
WHEAT,2021,48.7,BU / ACRE,TX
WHEAT,2023,64.6,BU / ACRE,SD
COTTON,2021,162.7,BU / ACRE,KS
OATS,2023,130.9,BU / ACRE,ND
CORN,2020,84.4,BU / ACRE,TX
CORN,2020,136.5,BU / ACRE,MN
CORN,2023,181.2,BU / ACRE,SD
OATS,2021,115.5,BU / ACRE,IA
COTTON,2021,123.4,BU / ACRE,SD
CORN,2020,98.5,BU / ACRE,SD
WHEAT,2020,139.4,BU / ACRE,NE
OATS,2020,97.8,BU / ACRE,SD
OATS,2021,93.9,BU / ACRE,KS
SOYBEANS,2021,136.9,BU / ACRE,IA
OATS,2023,150.4,BU / ACRE,NE
SOYBEANS,2022,129.7,BU / ACRE,TX
OATS,2022,182.4,BU / ACRE,TX
OATS,2022,32.9,BU / ACRE,NE
CORN,2023,192.4,BU / ACRE,TX
OATS,2022,128.5,BU / ACRE,IL
COTTON,2023,177.7,BU / ACRE,MN
COTTON,2020,186.8,BU / ACRE,MN
OATS,2022,154.5,BU / ACRE,ND
OATS,2023,185.7,BU / ACRE,KS
CORN,2023,174.6,BU / ACRE,ND
WHEAT,2023,193.6,BU / ACRE,NE
OATS,2023,82.6,BU / ACRE,NE
OATS,2020,158.7,BU / ACRE,IA
OATS,2022,118.9,BU / ACRE,KS
WHEAT,2020,144.3,BU / ACRE,KS
COTTON,2022,168.9,BU / ACRE,IL
OATS,2022,59.6,BU / ACRE,TX
OATS,2023,131.1,BU / ACRE,TX
CORN,2022,104.0,BU / ACRE,SD
CORN,2022,147.8,BU / ACRE,SD
WHEAT,2021,151.1,BU / ACRE,IL
COTTON,2021,106.1,BU / ACRE,KS
SOYBEANS,2020,49.3,BU / ACRE,TX
COTTON,2023,71.4,BU / ACRE,IL
WHEAT,2021,51.1,BU / ACRE,IL
CORN,2023,96.1,BU / ACRE,NE
WHEAT,2020,109.7,BU / ACRE,TX
SOYBEANS,2022,127.0,BU / ACRE,SD
COTTON,2023,172.9,BU / ACRE,MN
CORN,2020,161.0,BU / ACRE,KS
CORN,2020,191.7,BU / ACRE,KS
OATS,2021,196.5,BU / ACRE,IA
COTTON,2021,197.8,BU / ACRE,SD
CORN,2020,115.9,BU / ACRE,KS
OATS,2022,164.7,BU / ACRE,TX
OATS,2022,143.6,BU / ACRE,SD
CORN,2022,194.0,BU / ACRE,TX
OATS,2022,48.3,BU / ACRE,IL
COTTON,2020,31.4,BU / ACRE,TX
CORN,2022,87.5,BU / ACRE,KS
OATS,2022,33.8,BU / ACRE,TX
COTTON,2020,185.6,BU / ACRE,MN
SOYBEANS,2021,54.1,BU / ACRE,SD
OATS,2020,197.5,BU / ACRE,ND
OATS,2020,133.9,BU / ACRE,IL
WHEAT,2020,98.4,BU / ACRE,IL
OATS,2021,141.9,BU / ACRE,NE
WHEAT,2022,194.8,BU / ACRE,KS
CORN,2022,157.1,BU / ACRE,NE
SOYBEANS,2020,178.5,BU / ACRE,IA
WHEAT,2021,116.9,BU / ACRE,IA
SOYBEANS,2020,67.7,BU / ACRE,NE
